Пол;Возраст;Зарплата;Ищет работу на должность;Город;Занятость;График;Опыт;Последнее/нынешнее место работы;Последняя/нынешняя должность;Выполняемые задачи на прошлых местах работ;Обо мне;Ключевые навыки;Образование и ВУЗ
Ж;27;80000;AI Child Development Specialist;Москва;Полная занятость;Полный рабочий день;2 года 6 месяцев;ChildTech Solutions;AI Child Development Specialist;Анализ данных развития детей, определение особенностей, рекомендации для обучения.;Специалист по развитию детей с опытом в анализе данных и педагогике.;Python, R, педагогические данные;Высшее образование, Московский Государственный Университет.
Ж;26;72000;AI Financial Analyst;Москва;Полная занятость;Полный рабочий день;2 года 3 месяца;FinanceTech Solutions;AI Financial Analyst;Анализ данных в финансовой сфере, прогнозирование рисков и доходности.;Финансовый аналитик с опытом в анализе данных и финансовой аналитике.;Python, финансовые данные, анализ рисков;Высшее образование, Московский Государственный Университет.
М;30;180000;AI Music Generation Engineer;Москва;Полная занятость;Полный рабочий день;2 года;MusicTech Solutions;AI Music Generation Engineer;Разработка алгоритмов для генерации музыки, создание мелодий и композиций.;Инженер по генерации музыки с опытом в анализе данных и музыкальных технологиях.;Python, музыкальные данные, генерация музыки;Высшее образование, Московский Государственный Университет.
М;30;178000;AI Agriculture Data Analyst;Москва;Полная занятость;Полный рабочий день;2 года 7 месяцев;AgriTech Solutions;AI Agriculture Data Analyst;Анализ данных в сельском хозяйстве, прогнозирование урожайности, оптимизация производства.;Специалист по анализу сельскохозяйственных данных с опытом в агробизнесе и анализе данных.;Python, сельскохозяйственные данные, анализ урожайности;Высшее образование, Московский Государственный Университет.
М;28;168000;AI Language Education Specialist;Москва;Полная занятость;Полный рабочий день;2 года 11 месяцев;LanguageEduTech Solutions;AI Language Education Specialist;Разработка образовательных технологий для изучения языков, создание интерактивных учебных материалов.;Специалист по обучению языкам с опытом в разработке и анализе данных.;Python, образовательные данные, обучение языкам;Высшее образование, Московский Государственный Университет.
М;30;180000;AI Entertainment Industry Analyst;Москва;Полная занятость;Полный рабочий день;2 года 5 месяцев;EntertainmentTech Solutions;AI Entertainment Industry Analyst;Анализ данных в индустрии развлечений, определение популярных трендов и предпочтений.;Специалист по анализу данных в индустрии развлечений с опытом в развлекательной индустрии и анализе данных.;Python, анализ развлекательных данных, тренды;Высшее образование, Московский Государственный Университет.
М;30;175000;AI Social Media Analyst;Москва;Полная занятость;Полный рабочий день;2 года 9 месяцев;SocialMediaTech Solutions;AI Social Media Analyst;Анализ данных в социальных сетях, определение популярных тем и тенденций.;Специалист по анализу данных в социальных сетях с опытом в анализе данных и социальных медиа.;Python, анализ социальных данных, социальные тенденции;Высшее образование, Московский Государственный Университет.
М;30;185000;AI Event Prediction Analyst;Москва;Полная занятость;Полный рабочий день;2 года;EventPredictionTech Solutions;AI Event Prediction Analyst;Прогнозирование событий и их последствий на основе анализа данных, определение рисков и возможностей.;Специалист по прогнозированию событий с опытом в анализе данных и предсказательной аналитике.;Python, анализ предсказательных данных, событийное моделирование;Высшее образование, Московский Государственный Университет.
М;30;180000;AI Marketing Analytics Specialist;Москва;Полная занятость;Полный рабочий день;2 года 5 месяцев;MarketingTech Solutions;AI Marketing Analytics Specialist;Анализ данных в маркетинге, определение эффективных стратегий продвижения и рекламы.;Специалист по анализу маркетинговых данных с опытом в анализе данных и маркетинговой аналитике.;Python, анализ маркетинговых данных, маркетинговая стратегия;Высшее образование, Московский Государственный Университет.
М;30;175000;AI Fraud Detection Specialist;Москва;Полная занятость;Полный рабочий день;2 года 9 месяцев;FraudDetectionTech Solutions;AI Fraud Detection Specialist;Обнаружение мошеннических действий на основе анализа данных и алгоритмов машинного обучения.;Специалист по обнаружению мошенничества с опытом в анализе данных и кибербезопасности.;Python, обнаружение мошенничества, кибербезопасность;Высшее образование, Московский Государственный Университет.
М;30;185000;AI Market Research Analyst;Москва;Полная занятость;Полный рабочий день;2 года 3 месяца;MarketResearchTech Solutions;AI Market Research Analyst;Анализ рынка на основе данных, определение потребительских предпочтений и конкурентных преимуществ.;Специалист по исследованию рынка с опытом в анализе данных и маркетинговой аналитике.;Python, анализ рыночных данных, маркетинговая стратегия;Высшее образование, Московский Государственный Университет.
М;30;175000;AI Investment Analyst;Москва;Полная занятость;Полный рабочий день;2 года 7 месяцев;InvestmentTech Solutions;AI Investment Analyst;Анализ инвестиционных возможностей на основе данных рынка, оценка рисков и доходности.;Специалист по анализу инвестиций с опытом в анализе данных и финансовой аналитике.;Python, анализ инвестиционных данных, инвестиционный анализ;Высшее образование, Московский Государственный Университет.
М;30;175000;AI Agriculture Optimization Specialist;Москва;Полная занятость;Полный рабочий день;2 года 11 месяцев;AgricultureTech Solutions;AI Agriculture Optimization Specialist;Оптимизация сельского хозяйства на основе анализа данных, улучшение урожайности и эффективности.;Специалист по оптимизации сельского хозяйства с опытом в анализе данных и агротехнологиях.;Python, анализ аграрных данных, сельское хозяйство;Высшее образование, Московский Государственный Университет.
М;30;175000;AI Entertainment Industry Analyst;Москва;Полная занятость;Полный рабочий день;2 года 5 месяцев;EntertainmentTech Solutions;AI Entertainment Industry Analyst;Анализ данных в индустрии развлечений, определение популярных жанров и тенденций.;Специалист по анализу данных в индустрии развлечений с опытом в анализе данных и развлекательной индустрии.;Python, анализ развлекательных данных, развлекательные тренды;Высшее образование, Московский Государственный Университет.
М;30;175000;AI Transportation Efficiency Analyst;Москва;Полная занятость;Полный рабочий день;2 года 9 месяцев;TransportationEfficiencyTech Solutions;AI Transportation Efficiency Analyst;Анализ эффективности транспортных систем на основе данных, оптимизация маршрутов и времени.;Специалист по анализу эффективности транспорта с опытом в анализе данных и транспортной инфраструктуре.;Python, анализ данных транспорта, транспортная оптимизация;Высшее образование, Московский Государственный Университет.
М;30;175000;AI Digital Marketing Analyst;Москва;Полная занятость;Полный рабочий день;3 года 1 месяц;DigitalMarketingTech Solutions;AI Digital Marketing Analyst;Анализ эффективности цифрового маркетинга на основе данных, оптимизация рекламных кампаний.;Специалист по анализу цифрового маркетинга с опытом в анализе данных и маркетинге.;Python, анализ маркетинговых данных, цифровой маркетинг;Высшее образование, Московский Государственный Университет.
М;28;95000;Machine Learning Engineer;Москва;Полная занятость;Полный рабочий день;2 года;AI Solutions;Machine Learning Engineer;Разработка и обучение моделей глубокого обучения для обработки изображений, использование компьютерного зрения.;Инженер по машинному обучению с опытом работы в обработке изображений.;Python, TensorFlow, Keras, Computer Vision;Высшее образование, Московский Инженерный Университет
Ж;28;75000;Data Analyst;Мурманск;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataInsight;Data Analyst;Анализ данных, создание отчетов и дашбордов, поддержка аналитики.;Аналитик данных с опытом работы в анализе и визуализации данных.;SQL, Excel, Tableau, визуализация данных;Высшее образование, Мурманский Государственный Университет
Ж;28;87000;AI HR Analyst;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;HRTech Solutions;AI HR Analyst;Анализ данных в сфере управления человеческими ресурсами, прогнозирование потребности в персонале.;Специалист по HR-аналитике с опытом в анализе данных и управлении персоналом.;Python, pandas, анализ HR-данных;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI HR Manager;Нур-Султан;Полная занятость;Полный рабочий день;2 года 7 месяцев;HRM Tech Solutions;AI HR Manager;Управление человеческими ресурсами с использованием анализа данных и машинного обучения.;Специалист по управлению HR с опытом в анализе данных и управлении персоналом.;Python, машинное обучение, управление HR;Высшее образование, Назарбаев Университет.
Ж;28;85000;AI Supply Chain Analyst;Нур-Султан;Полная занятость;Полный рабочий день;2 года 11 месяцев;SupplyTech Solutions;AI Supply Chain Analyst;Анализ данных логистики и поставок, оптимизация цепочек поставок.;Специалист по анализу поставок с опытом в логистике и оптимизации цепочек поставок.;Python, логистические данные, оптимизация поставок;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI Retail Analytics Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 6 месяцев;RetailTech Solutions;AI Retail Analytics Specialist;Анализ данных в розничной торговле, оптимизация товарных ассортиментов и маркетинговых кампаний.;Специалист по анализу розничных данных с опытом в анализе данных и розничной торговле.;Python, анализ розничных данных, маркетинговая аналитика;Высшее образование, Назарбаев Университет.
Ж;27;82000;AI E-commerce Analytics Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 10 месяцев;EcomTech Solutions;AI E-commerce Analytics Specialist;Анализ данных в электронной коммерции, оптимизация продаж и конверсии.;Специалист по анализу электронной коммерции с опытом в анализе данных и маркетинговой аналитике.;Python, анализ электронной коммерции, маркетинговая аналитика;Высшее образование, Назарбаев Университет.
Ж;29;84000;AI Personal Finance Advisor;Нур-Султан;Полная занятость;Полный рабочий день;2 года 4 месяца;FinanceAdviceTech Solutions;AI Personal Finance Advisor;Предоставление финансовых советов на основе анализа данных о финансовом положении клиента.;Специалист по финансовому консультированию с опытом в анализе данных и финансовой аналитике.;Python, анализ финансовых данных, финансовые советы;Высшее образование, Назарбаев Университет.
Ж;29;85000;AI Fashion Industry Analyst;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;FashionTech Solutions;AI Fashion Industry Analyst;Анализ данных в индустрии моды, определение популярных стилей и тенденций.;Специалист по анализу данных в индустрии моды с опытом в анализе данных и модном дизайне.;Python, анализ модных данных, модные тенденции;Высшее образование, Назарбаев Университет.
Ж;29;87000;AI HR Analytics Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года;HRTech Solutions;AI HR Analytics Specialist;Анализ данных в управлении человеческими ресурсами, определение эффективных методов подбора и удержания персонала.;Специалист по анализу данных в управлении человеческими ресурсами с опытом в анализе данных и HR.;Python, анализ HR данных, управление персоналом;Высшее образование, Назарбаев Университет.
Ж;29;88000;AI Music Composition Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 4 месяца;MusicTech Solutions;AI Music Composition Specialist;Создание музыкальных композиций с использованием анализа данных и искусственного интеллекта.;Специалист по композиции музыки с использованием ИИ с опытом в музыкальной теории и анализе данных.;Python, музыкальные данные, композиция музыки;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI Product Recommendation Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;ProductRecommendationTech Solutions;AI Product Recommendation Specialist;Разработка рекомендаций для продуктов и услуг на основе анализа данных и поведения клиентов.;Специалист по рекомендациям продуктов с опытом в анализе данных и маркетинговой аналитике.;Python, рекомендательные данные, маркетинговая стратегия;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI Climate Change Analyst;Нур-Султан;Полная занятость;Полный рабочий день;2 года 2 месяца;ClimateChangeTech Solutions;AI Climate Change Analyst;Анализ данных изменения климата, определение трендов и последствий.;Специалист по анализу данных изменения климата с опытом в анализе данных и экологии.;Python, анализ климатических данных, экологический анализ;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI Architecture Design Assistant;Нур-Султан;Полная занятость;Полный рабочий день;2 года 6 месяцев;ArchitectureDesignTech Solutions;AI Architecture Design Assistant;Ассистирование в архитектурном проектировании на основе анализа данных и требований клиента.;Специалист по ассистированию в архитектурном проектировании с опытом в анализе данных и дизайне.;Python, анализ архитектурных данных, дизайн зданий;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI Cybersecurity Analyst;Нур-Султан;Полная занятость;Полный рабочий день;2 года 10 месяцев;CybersecurityTech Solutions;AI Cybersecurity Analyst;Анализ кибербезопасности на основе данных, обнаружение и предотвращение угроз.;Специалист по анализу кибербезопасности с опытом в анализе данных и кибербезопасности.;Python, анализ кибербезопасности, кибербезопасность;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI Mental Health Support Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 4 месяца;MentalHealthTech Solutions;AI Mental Health Support Specialist;Поддержка психического здоровья на основе анализа данных и психологических методов.;Специалист по поддержке психического здоровья с опытом в анализе данных и психологии.;Python, анализ психологических данных, психологическая поддержка;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI Urban Planning Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;UrbanPlanningTech Solutions;AI Urban Planning Specialist;Планирование городских территорий на основе анализа данных и требований жителей.;Специалист по городскому планированию с опытом в анализе данных и архитектуре.;Python, анализ городских данных, городское планирование;Высшее образование, Назарбаев Университет.
Ж;29;86000;AI E-commerce Optimization Specialist;Нур-Султан;Полная занятость;Полный рабочий день;3 года;E-commerceTech Solutions;AI E-commerce Optimization Specialist;Оптимизация онлайн-торговли на основе анализа данных, улучшение пользовательского опыта и конверсии.;Специалист по оптимизации e-commerce с опытом в анализе данных и маркетинге.;Python, анализ данных e-commerce, оптимизация пользовательского опыта;Высшее образование, Назарбаев Университет.
М;28;78000;AutoML Engineer;Астана;Полная занятость;Полный рабочий день;2 года;AutoAI;AutoML Engineer;Разработка и настройка автоматических инструментов для создания ML-моделей.;Инженер с опытом работы в AutoML и настройке автоматических инструментов.;Python, AutoKeras, AutoML, машинное обучение;Высшее образование, Национальный Университет Казахстана
М;30;86000;Machine Learning Engineer;Астана;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Национальный Университет Казахстана
М;29;92000;AutoML Engineer;Алма-Ата;Полная занятость;Полный рабочий день;2 года;AutoAI;AutoML Engineer;Разработка и настройка автоматических инструментов для создания ML-моделей.;Инженер с опытом работы в AutoML и настройке автоматических инструментов.;Python, AutoKeras, AutoML, машинное обучение;Высшее образование, Национальный Университет Казахстана
Ж;28;84000;Data Scientist;Астана;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Национальный Университет Казахстана
Ж;28;88000;Data Scientist;Астана;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Национальный Университет Казахстана
Ж;28;92000;Data Scientist;Астана;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Национальный Университет Казахстана
Ж;28;96000;Data Scientist;Астана;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Национальный Университет Казахстана
М;27;100000;Machine Learning Engineer;Нижний Новгород;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLPro;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для прогнозирования временных рядов.;Инженер с опытом работы в анализе временных рядов и ML-моделях.;Python, scikit-learn, TensorFlow, временные ряды;Высшее образование, Нижегородский Государственный Университет
Ж;28;77000;Data Analyst;Нижний Новгород;Полная занятость;Полный рабочий день;2 года;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Нижегородский Государственный Университет
М;28;76000;Software Engineer;Нижний Новгород;Полная занятость;Полный рабочий день;2 года 4 месяца;CodeCraft;Software Engineer;Разработка и оптимизация веб-приложений, поддержка существующего кода, работа над новыми фичами.;Программист с опытом работы в web-разработке.;JavaScript, Node.js, React, Git, REST API;Высшее образование, Нижний Новгородский Технический Университет
Ж;26;75000;Data Scientist;Нижний Новгород;Полная занятость;Полный рабочий день;2 года 3 месяца;DataWave;Data Scientist;Анализ данных, создание моделей машинного обучения, статистический анализ, оптимизация бизнес-процессов.;Специалист по анализу данных и машинному обучению.;Python, R, SQL, pandas, scikit-learn;Высшее образование, Нижний Новгородский Технический Университет
Ж;25;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
Ж;26;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;3 года;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
Ж;25;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
Ж;27;79000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 4 месяца;DataWave;Data Analyst;Анализ данных, создание отчетов и дашбордов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в области компьютерной науки и анализа данных. Владеет навыками SQL, Python и BI-инструментами.;SQL, Python, Tableau, BI-инструменты;Высшее образование, Новосибирский Государственный Университет
Ж;25;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
Ж;25;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
Ж;25;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;Python, SQL, Tableau, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
Ж;25;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
Ж;25;70000;Data Analyst;Новосибирск;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и финансов.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Новосибирский Государственный Университет
М;29;78000;Data Scientist;Новосибирск;Полная занятость;Полный рабочий день;2 года 3 месяца;DataWave;Data Scientist;Анализ данных, создание моделей машинного обучения, поддержка решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и машинного обучения.;Python, scikit-learn, SQL, визуализация данных;Высшее образование, Новосибирский Государственный Университет
М;31;138000;Machine Learning Engineer;Нур-Султан;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в медицинской сфере.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Нур-Султанский Государственный Университет
М;29;122000;AutoML Engineer;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLInnovate;AutoML Engineer;Разработка и обучение автоматических ML-моделей с использованием AutoML фреймворков.;Инженер с опытом работы в разработке автоматизированных ML-моделей.;AutoKeras, H2O, Python, автоматическое машинное обучение;Высшее образование, Нур-Султанский Государственный Университет
М;31;138000;Machine Learning Engineer;Нур-Султан;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в медицинской сфере.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Нур-Султанский Государственный Университет
М;29;122000;AutoML Engineer;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLInnovate;AutoML Engineer;Разработка и обучение автоматических ML-моделей с использованием AutoML фреймворков.;Инженер с опытом работы в разработке автоматизированных ML-моделей.;AutoKeras, H2O, Python, автоматическое машинное обучение;Высшее образование, Нур-Султанский Государственный Университет
М;31;138000;Machine Learning Engineer;Нур-Султан;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в медицинской сфере.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Нур-Султанский Государственный Университет
М;29;122000;AutoML Engineer;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLInnovate;AutoML Engineer;Разработка и обучение автоматических ML-моделей с использованием AutoML фреймворков.;Инженер с опытом работы в разработке автоматизированных ML-моделей.;AutoKeras, H2O, Python, автоматическое машинное обучение;Высшее образование, Нур-Султанский Государственный Университет
М;31;138000;Machine Learning Engineer;Нур-Султан;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в медицинской сфере.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Нур-Султанский Государственный Университет
М;29;122000;AutoML Engineer;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLInnovate;AutoML Engineer;Разработка и обучение автоматических ML-моделей с использованием AutoML фреймворков.;Инженер с опытом работы в разработке автоматизированных ML-моделей.;AutoKeras, H2O, Python, автоматическое машинное обучение;Высшее образование, Нур-Султанский Государственный Университет
М;31;138000;Machine Learning Engineer;Нур-Султан;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в медицинской сфере.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Нур-Султанский Государственный Университет
М;29;122000;AutoML Engineer;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLInnovate;AutoML Engineer;Разработка и обучение автоматических ML-моделей с использованием AutoML фреймворков.;Инженер с опытом работы в разработке автоматизированных ML-моделей.;AutoKeras, H2O, Python, автоматическое машинное обучение;Высшее образование, Нур-Султанский Государственный Университет
М;31;138000;Machine Learning Engineer;Нур-Султан;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в медицинской сфере.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Нур-Султанский Государственный Университет
М;29;122000;AutoML Engineer;Нур-Султан;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLInnovate;AutoML Engineer;Разработка и обучение автоматических ML-моделей с использованием AutoML фреймворков.;Инженер с опытом работы в разработке автоматизированных ML-моделей.;AutoKeras, H2O, Python, автоматическое машинное обучение;Высшее образование, Нур-Султанский Государственный Университет
Ж;28;76000;Data Analyst;Пермь;Полная занятость;Полный рабочий день;2 года 3 месяца;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Пермский Государственный Университет
